year,imdb,title,test,clean_test,binary,budget,domgross,intgross,genre,Horror,Comedy,Action,Romance,Sci-Fi,Drama,Historic Fiction,Fantasy,Thriller,Sum
2010,tt0455407,The Crazies,ok,ok,PASS,19000000,39123589,54956140,"Horror, Thriller",1,0,0,0,0,0,0,0,1,2
2010,tt1226753,The Debt,ok,ok,PASS,20000000,31177548,46604054,"Drama, Thriller",0,0,0,0,0,1,0,0,1,2
2010,tt1320253,The Expendables,notalk,notalk,FAIL,82000000,103068524,268268174,"Action, Adventure, Thriller",0,0,1,0,0,0,0,0,1,2
2010,tt0964517,The Fighter,men,men,FAIL,11000000,93617009,129262388,"Biography, Drama, Sport",0,0,0,0,0,1,1,0,0,2
2010,tt1139328,The Ghost Writer,men,men,FAIL,45000000,15541549,65532491,"Drama, Mystery, Thriller",0,0,0,0,0,1,0,0,1,2
2010,tt0775489,The Illusionist,nowomen,nowomen,FAIL,16500000,39868642,83792062,"Animation, Drama, Family",0,0,0,0,0,1,0,0,0,1
2010,tt1155076,The Karate Kid,dubious-disagree,dubious,FAIL,40000000,176591618,359091618,"Action, Drama, Family",0,0,1,0,0,1,0,0,0,2
2010,tt0842926,The Kids Are All Right,ok,ok,PASS,4000000,20811365,36275469,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2010,tt0954947,The Killer Inside Me,notalk,notalk,FAIL,13000000,217277,3617277,"Crime, Drama, Thriller",0,0,0,0,0,1,0,0,1,2
2010,tt1504320,The King&#39;s Speech,ok-disagree,ok,PASS,15000000,138797449,430821166,"Biography, Drama, History",0,0,0,0,0,1,1,0,0,2
2010,tt0938283,The Last Airbender,notalk-disagree,notalk,FAIL,150000000,131772187,319713881,"Action, Adventure, Family",0,0,1,0,0,0,0,0,0,1
2010,tt1320244,The Last Exorcism,ok,ok,PASS,1800000,41034350,70165900,"Horror, Mystery, Thriller",1,0,0,0,0,0,0,0,1,2
2010,tt0480255,The Losers,notalk,notalk,FAIL,25000000,23591432,26714018,"Action, Adventure, Crime",0,0,1,0,0,0,0,0,0,1
2010,tt1458175,The Next Three Days,ok,ok,PASS,30000000,21148651,67255916,"Action, Crime, Drama",0,0,1,0,0,1,0,0,0,2
2010,tt1386588,The Other Guys,nowomen-disagree,nowomen,FAIL,100000000,119219978,170936470,"Action, Comedy, Crime",0,1,1,0,0,0,0,0,0,2
2010,tt1017451,The Runaways,ok,ok,PASS,9500000,3573673,5278632,"Biography, Drama, Music",0,0,0,0,0,1,1,0,0,2
2010,tt1285016,The Social Network,notalk-disagree,notalk,FAIL,40000000,96962694,224922135,"Biography, Drama",0,0,0,0,0,1,1,0,0,2
2010,tt0963966,The Sorcerer&#39;s Apprentice,notalk,notalk,FAIL,160000000,63150991,215150991,"Action, Adventure, Family",0,0,1,0,0,0,0,0,0,1
2010,tt1273678,The Spy Next Door,ok,ok,PASS,28000000,24307106,50983364,"Action, Comedy, Family",0,1,1,0,0,0,0,0,0,2
2010,tt0889573,The Switch,men,men,FAIL,19000000,27758465,49858465,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2010,tt1274300,The Tempest,ok,ok,PASS,20000000,277943,277943,"Drama, Fantasy",0,0,0,0,0,1,0,1,0,2
2010,tt1243957,The Tourist,nowomen,nowomen,FAIL,100000000,67631157,278731369,"Action, Adventure, Crime",0,0,1,0,0,0,0,0,0,1
2010,tt0840361,The Town,notalk,notalk,FAIL,37000000,92186262,152566881,"Crime, Drama, Thriller",0,0,0,0,0,1,0,0,1,2
2010,tt1325004,The Twilight Saga: Eclipse,ok-disagree,ok,PASS,68000000,300531751,699590681,"Adventure, Drama, Fantasy",0,0,1,0,0,1,0,1,0,3
2010,tt0780653,The Wolfman,notalk-disagree,notalk,FAIL,150000000,62189884,142634358,"Drama, Fantasy, Horror",1,0,0,0,0,1,0,1,0,3
2010,tt1570989,Tiny Furniture,ok,ok,PASS,50000,391674,424149,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2010,tt0435761,Toy Story 3,dubious-disagree,dubious,FAIL,200000000,415004880,1063759456,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2010,tt1104001,Tron Legacy,notalk-disagree,notalk,FAIL,200000000,172062763,397562763,"Action, Adventure, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2010,tt1403865,True Grit,ok-disagree,ok,PASS,35000000,171243005,252276928,"Drama, Western",0,0,0,0,0,1,0,0,0,1
2010,tt1465522,Tucker and Dale vs Evil,ok,ok,PASS,5000000,223838,5476793,"Comedy, Horror",1,1,0,0,0,0,0,0,0,2
2010,tt0477080,Unstoppable,dubious,dubious,FAIL,95000000,81562942,169511609,"Action, Thriller",0,0,1,0,0,0,0,0,1,2
2010,tt0817230,Valentine&#39;s Day,ok,ok,PASS,52000000,110485654,217569328,"Comedy, Romance",0,1,0,1,0,0,0,0,0,2
2010,tt1027718,Wall Street: Money Never Sleeps,dubious-disagree,dubious,FAIL,70000000,52474616,137431619,Drama,0,0,0,0,0,1,0,0,0,1
2010,tt1183923,Welcome to the Rileys,ok,ok,PASS,10000000,152857,312857,Drama,0,0,0,0,0,1,0,0,0,1
2010,tt1235189,Wild Target,notalk,notalk,FAIL,8000000,109338,109338,"Action, Comedy, Crime",0,1,1,0,0,0,0,0,0,2
2010,tt1399683,Winter&#39;s Bone,ok-disagree,ok,PASS,2000000,6531503,16131552,"Drama, Mystery",0,0,0,0,0,1,0,0,0,1
2010,tt1216520,Womb,ok,ok,PASS,13000000,,,"Drama, Romance, Sci-Fi",0,0,0,1,1,1,0,0,0,3
2010,tt1302067,Yogi Bear,nowomen,nowomen,FAIL,80000000,100246011,202284317,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2010,tt1414382,You Again,ok,ok,PASS,20000000,25702053,32838945,"Comedy, Romance",0,1,0,1,0,0,0,0,0,2
2010,tt1182350,You Will Meet a Tall Dark Stranger,ok,ok,PASS,15000000,3247816,34247816,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2009,tt1022603,(500) Days of Summer,notalk-disagree,notalk,FAIL,7500000,32391374,60803210,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2009,tt0974661,17 Again,ok-disagree,ok,PASS,40000000,64167069,139474906,"Comedy, Drama, Fantasy",0,1,0,0,0,1,0,1,0,3
2009,tt1190080,2012,notalk-disagree,notalk,FAIL,200000000,166112167,788408539,"Action, Adventure, Sci-Fi",0,0,1,0,1,0,0,0,0,2
2009,tt0472033,9,nowomen,nowomen,FAIL,30000000,31749894,48559999,"Animation, Action, Adventure",0,0,1,0,0,0,0,0,0,1
2009,tt0971209,A Perfect Getaway,dubious-disagree,dubious,FAIL,14000000,15515460,22815460,"Drama, Mystery, Thriller",0,0,0,0,0,1,0,0,1,2
2009,tt1019452,A Serious Man,men,men,FAIL,7000000,9228788,30360570,"Comedy, Drama",0,1,0,0,0,1,0,0,0,2
2009,tt1315981,A Single Man,notalk,notalk,FAIL,7000000,9176000,28142379,"Drama, Romance",0,0,0,1,0,1,0,0,0,2
2009,tt1185836,Adam,men,men,FAIL,3200000,2277396,2828590,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2009,tt1091722,Adventureland,men-disagree,men,FAIL,9800000,16044025,17144025,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2009,tt1186830,Agora,notalk,notalk,FAIL,70000000,619423,38992292,"Adventure, Biography, Drama",0,0,1,0,0,1,1,0,0,3
2009,tt1077262,Ajami,men-disagree,men,FAIL,1000000,621859,621859,"Crime, Drama",0,0,0,0,0,1,0,0,0,1
2009,tt0881891,All About Steve,ok,ok,PASS,15000000,33862903,40127259,"Comedy, Romance",0,1,0,1,0,0,0,0,0,2
2009,tt1174732,An Education,ok,ok,PASS,7500000,12574914,29652736,Drama,0,0,0,0,0,1,0,0,0,1
2009,tt0808151,Angels &amp; Demons,nowomen,nowomen,FAIL,150000000,133375846,490875846,"Action, Mystery, Thriller",0,0,1,0,0,0,0,0,1,2
2009,tt0913354,Armored,nowomen,nowomen,FAIL,20000000,15988876,23661038,"Action, Crime, Thriller",0,0,1,0,0,0,0,0,1,2
2009,tt0375568,Astro Boy,dubious,dubious,FAIL,65000000,19551067,44093014,"Animation, Action, Comedy",0,1,1,0,0,0,0,0,0,2
2009,tt0499549,Avatar,men-disagree,men,FAIL,425000000,760507625,2783918982,"Action, Adventure, Fantasy",0,0,1,0,0,0,0,1,0,2
2009,tt1176740,Away We Go,ok,ok,PASS,21000000,9451946,10108016,"Comedy, Drama, Romance",0,1,0,1,0,1,0,0,0,3
2009,tt0889583,Br&uuml;no,nowomen-disagree,nowomen,FAIL,42000000,60054530,130788243,Comedy,0,1,0,0,0,0,0,0,0,1
2009,tt0901476,Bride Wars,ok,ok,PASS,30000000,58715510,115150424,"Comedy, Romance",0,1,0,1,0,0,0,0,0,2
2009,tt0810784,Bright Star,ok,ok,PASS,8500000,4444637,17260680,"Biography, Drama, Romance",0,0,0,1,0,1,1,0,0,3
2009,tt1210042,Brooklyn&#39;s Finest,notalk,notalk,FAIL,17000000,27163593,39233233,"Action, Crime, Drama",0,0,1,0,0,1,0,0,0,2
2009,tt0765010,Brothers,ok,ok,PASS,26000000,28544157,45043870,"Action, Drama, Thriller",0,0,1,0,0,1,0,0,1,3
2009,tt1232207,Capitalism: A Love Story,notalk-disagree,notalk,FAIL,20000000,14363397,19121531,Documentary,0,0,0,0,0,0,1,0,0,1
2009,tt0795351,Case 39,ok,ok,PASS,27000000,13261851,29302804,"Horror, Mystery, Thriller",1,0,0,0,0,0,0,0,1,2
2009,tt1352824,Chloe,men-disagree,men,FAIL,13000000,3075255,9675172,"Drama, Mystery, Romance",0,0,0,1,0,1,0,0,0,2
2009,tt0844471,Cloudy with a Chance of Meatballs,notalk-disagree,notalk,FAIL,100000000,124870275,236827677,"Animation, Adventure, Comedy",0,1,1,0,0,0,0,0,0,2
2009,tt1035736,Coco avant Chanel,ok,ok,PASS,23000000,6113834,50813834,"Biography, Drama",0,0,0,0,0,1,1,0,0,2
